"Time (s)" "Packet Inter-arrival (ms)" "avg_OSD.flyTime [s]" "Distance (m)" "Height (m)" "Speed - x (m/s)" "Speed - y (m/s)" "Speed - z (m/s)" "Speed (m/s)"
1.0 0.099 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 7.113 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 30.896 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.552 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.277 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.487 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.042 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.025 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 3.21 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 37.135 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.57 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.22 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.24 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.211 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.216 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.503 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 5.207 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.574 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.366 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.039 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.061 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.121 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.149 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.148 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.149 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.214 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.097 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.585 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.138 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.149 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.147 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.148 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.149 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.155 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.037 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 17.304 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 13.644 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.553 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.218 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.288 1.45 1.773 0.0 0.0 0.0 0.0 0.0
1.0 0.181 1.45 1.773 0.0 0.0 0.0 0.0 0.0
2.0 0.331 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.039 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 9.499 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.491 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 32.242 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.551 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.237 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.221 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.222 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.091 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 14.801 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 23.124 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 1.064 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.047 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.026 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.095 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 1.658 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 0.059 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
2.0 1.136 2.45 1.814 0.05 0.02 0.0 -0.18 0.181107703
