Time (s),Packet Interval (ms),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s)
5,2.337,5.45,0.088,1.18,0,0,-0.15,0.15
5,17.582,5.45,0.088,1.18,0,0,-0.15,0.15
5,0.067,5.45,0.088,1.18,0,0,-0.15,0.15
5,10.435,5.45,0.088,1.18,0,0,-0.15,0.15
5,10.273,5.45,0.088,1.18,0,0,-0.15,0.15
5,20.265,5.45,0.088,1.18,0,0,-0.15,0.15
5,32.84,5.45,0.088,1.18,0,0,-0.15,0.15
5,3.028,5.45,0.088,1.18,0,0,-0.15,0.15
5,9.775,5.45,0.088,1.18,0,0,-0.15,0.15
5,0.365,5.45,0.088,1.18,0,0,-0.15,0.15
5,8.125,5.45,0.088,1.18,0,0,-0.15,0.15
5,6.383,5.45,0.088,1.18,0,0,-0.15,0.15
5,0.061,5.45,0.088,1.18,0,0,-0.15,0.15
5,5.522,5.45,0.088,1.18,0,0,-0.15,0.15
