Time (s),Packet Interval (ms),avg_Time (s),avg_Speed (m/s),avg_Distance (m),Distance (m),avg_Height (m),Height (m)
111,11.639,111.4401071,1.1,20.26714286,20,25.85714286,26
111,2.587,111.4401071,1.1,20.26714286,20,25.85714286,26
111,17.433,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.762,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.071,111.4401071,1.1,20.26714286,20,25.85714286,26
111,11.539,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.297,111.4401071,1.1,20.26714286,20,25.85714286,26
111,15.664,111.4401071,1.1,20.26714286,20,25.85714286,26
111,13.697,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.082,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.811,111.4401071,1.1,20.26714286,20,25.85714286,26
111,1.806,111.4401071,1.1,20.26714286,20,25.85714286,26
111,0.506,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.644,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.712,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.076,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.189,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.244,111.4401071,1.1,20.26714286,20,25.85714286,26
111,4.737,111.4401071,1.1,20.26714286,20,25.85714286,26
111,19.256,111.4401071,1.1,20.26714286,20,25.85714286,26
111,34.631,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.298,111.4401071,1.1,20.26714286,20,25.85714286,26
111,6.527,111.4401071,1.1,20.26714286,20,25.85714286,26
111,3.533,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.386,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.912,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.598,111.4401071,1.1,20.26714286,20,25.85714286,26
112,6.804,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.023,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.213,111.4401071,1.1,20.26714286,20,25.85714286,26
112,14.256,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.137,111.4401071,1.1,20.26714286,20,25.85714286,26
112,6.687,111.4401071,1.1,20.26714286,20,25.85714286,26
112,83.502,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.216,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.219,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.301,111.4401071,1.1,20.26714286,20,25.85714286,26
112,6.69,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.116,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.34,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.622,111.4401071,1.1,20.26714286,20,25.85714286,26
112,6.803,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.785,111.4401071,1.1,20.26714286,20,25.85714286,26
112,8.663,111.4401071,1.1,20.26714286,20,25.85714286,26
112,4.016,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.846,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.313,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.055,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.236,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.285,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.328,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.38,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.279,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.466,111.4401071,1.1,20.26714286,20,25.85714286,26
112,4.288,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.403,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.46,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.168,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.514,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.945,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.433,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.575,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.694,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.306,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.709,111.4401071,1.1,20.26714286,20,25.85714286,26
112,4.682,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.811,111.4401071,1.1,20.26714286,20,25.85714286,26
112,4.596,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.235,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.241,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.693,111.4401071,1.1,20.26714286,20,25.85714286,26
112,12.556,111.4401071,1.1,20.26714286,20,25.85714286,26
112,11.582,111.4401071,1.1,20.26714286,20,25.85714286,26
112,23.653,111.4401071,1.1,20.26714286,20,25.85714286,26
112,20.684,111.4401071,1.1,20.26714286,20,25.85714286,26
112,7.525,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.853,111.4401071,1.1,20.26714286,20,25.85714286,26
112,13.83,111.4401071,1.1,20.26714286,20,25.85714286,26
112,21.814,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.82,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.306,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.643,111.4401071,1.1,20.26714286,20,25.85714286,26
112,7.733,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.949,111.4401071,1.1,20.26714286,20,25.85714286,26
112,13.126,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.293,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.433,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.377,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.424,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.679,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.787,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.848,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.87,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.448,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.513,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.326,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.075,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.033,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.744,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.855,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.707,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.898,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.88,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.727,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.861,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.653,111.4401071,1.1,20.26714286,20,25.85714286,26
112,27.189,111.4401071,1.1,20.26714286,20,25.85714286,26
112,6.024,111.4401071,1.1,20.26714286,20,25.85714286,26
112,10.313,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.388,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.355,111.4401071,1.1,20.26714286,20,25.85714286,26
112,17.424,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.003,111.4401071,1.1,20.26714286,20,25.85714286,26
112,6.791,111.4401071,1.1,20.26714286,20,25.85714286,26
112,15.927,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.762,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.799,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.666,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.553,111.4401071,1.1,20.26714286,20,25.85714286,26
112,23.53,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.614,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.746,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.413,111.4401071,1.1,20.26714286,20,25.85714286,26
112,22.637,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.801,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.541,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.449,111.4401071,1.1,20.26714286,20,25.85714286,26
112,10.156,111.4401071,1.1,20.26714286,20,25.85714286,26
112,14.942,111.4401071,1.1,20.26714286,20,25.85714286,26
112,4.832,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.673,111.4401071,1.1,20.26714286,20,25.85714286,26
112,23.835,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.787,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.916,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.573,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.119,111.4401071,1.1,20.26714286,20,25.85714286,26
112,22.182,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.977,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.476,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.593,111.4401071,1.1,20.26714286,20,25.85714286,26
112,29.283,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.008,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.676,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.214,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.216,111.4401071,1.1,20.26714286,20,25.85714286,26
112,27.504,111.4401071,1.1,20.26714286,20,25.85714286,26
112,5.112,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.215,111.4401071,1.1,20.26714286,20,25.85714286,26
112,6.284,111.4401071,1.1,20.26714286,20,25.85714286,26
112,21.646,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.979,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.524,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.793,111.4401071,1.1,20.26714286,20,25.85714286,26
112,29.018,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.96,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.668,111.4401071,1.1,20.26714286,20,25.85714286,26
112,1.045,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.412,111.4401071,1.1,20.26714286,20,25.85714286,26
112,28.551,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.086,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.031,111.4401071,1.1,20.26714286,20,25.85714286,26
112,32.342,111.4401071,1.1,20.26714286,20,25.85714286,26
112,2.028,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.55,111.4401071,1.1,20.26714286,20,25.85714286,26
112,30.517,111.4401071,1.1,20.26714286,20,25.85714286,26
112,3.155,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.617,111.4401071,1.1,20.26714286,20,25.85714286,26
112,0.895,111.4401071,1.1,20.26714286,20,25.85714286,26
