Time,Packet Inter-arrival (s),Time (s),avg_OSD.height [m]
12.752243,0.01363,13,1.5
12.77255,0.020307,13,1.5
12.775548,0.002998,13,1.5
12.793184,0.017636,13,1.5
12.813508,0.020324,13,1.5
12.833863,0.020355,13,1.5
12.859077,0.025214,13,1.5
12.868295,0.009218,13,1.5
12.881446,0.013151,13,1.5
12.896101,0.014655,13,1.5
12.953531,0.05743,13,1.5
12.953781,0.00025,13,1.5
12.95808,0.004299,13,1.5
12.970399,0.012319,13,1.5
12.992199,0.0218,13,1.5
12.994987,0.002788,13,1.5
13.016723,0.021736,13,1.5
13.045197,0.028474,13,1.5
13.066939,0.021742,13,1.5
13.078757,0.011818,13,1.5
13.098567,0.01981,13,1.5
13.113861,0.015294,13,1.5
13.134315,0.020454,13,1.5
13.152929,0.018614,13,1.5
13.15506,0.002131,13,1.5
13.176497,0.021437,13,1.5
13.181341,0.004844,13,1.5
13.181411,7.00E-05,13,1.5
13.196828,0.015417,13,1.5
13.220315,0.023487,13,1.5
13.240631,0.020316,13,1.5
13.261057,0.020426,13,1.5
13.281331,0.020274,13,1.5
13.301613,0.020282,13,1.5
13.321913,0.0203,13,1.5
13.342188,0.020275,13,1.5
13.363795,0.021607,13,1.5
13.384894,0.021099,13,1.5
13.384974,8.00E-05,13,1.5
13.38502,4.60E-05,13,1.5
13.385063,4.30E-05,13,1.5
13.386523,0.00146,13,1.5
13.417665,0.031142,13,1.5
13.43759,0.019925,13,1.5
13.447777,0.010187,13,1.5
13.473977,0.0262,13,1.5
13.476735,0.002758,13,1.5
13.486808,0.010073,13,1.5
13.498306,0.011498,13,1.5
13.523381,0.025075,14,1.5
13.543667,0.020286,14,1.5
13.568078,0.024411,14,1.5
13.591647,0.023569,14,1.5
13.617875,0.026228,14,1.5
13.641435,0.02356,14,1.5
13.67077,0.029335,14,1.5
13.690699,0.019929,14,1.5
13.691585,0.000886,14,1.5
13.712391,0.020806,14,1.5
13.7383,0.025909,14,1.5
13.767305,0.029005,14,1.5
13.791941,0.024636,14,1.5
13.793842,0.001901,14,1.5
13.81666,0.022818,14,1.5
13.838366,0.021706,14,1.5
