Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
2857.79,1035.05,,0.2,0.254,0.667,1514,1514,1514
3301.23,1100.83,,0.2,0.197,0.499,1514,1514,940
3014.88,1134.05,,0.197,0.596,18.727,1514,1514,985
3135.75,1141.38,,0.088,0.034,10.12,926,740,1514
3169.71,1413.94,,17.595,2.762,0.696,208,102,1514
3086.42,1460.07,,12.896,37.201,1.594,1514,1514,1514
3072.34,1196.93,,0.44,0.561,0.413,1514,1514,1434
2928.55,810.664,,0.551,0.224,27.374,1514,1514,1514
3029.48,1542.91,,0.197,0.221,0.596,1514,1514,1514
3305.62,868.224,,0.202,0.226,1.449,1514,1514,1514
2564.2,1150.63,,0.226,0.259,0.373,956,1514,1514
2922.32,931.624,,3.502,17.235,0.209,691,1514,89
3106.01,1505.34,,0.192,1.435,21.905,1078,1514,985
2715.78,1909.05,,0.196,22.13,50.295,1514,1514,1514
2850.42,1404.24,,0.2,0.689,0.574,1514,1514,1514
2935.62,1917.42,,0.208,0.205,0.636,1514,1514,1514
2900.62,2001.55,,0.037,0.255,0.68,1514,160,1223
2946.82,2388.22,,1.956,0.176,14.042,1514,102,985
3156.77,1372,,7.623,0.11,13.792,854,397,1514
2667.29,1956.28,,11.934,40.084,0.512,1514,1514,1514
3142.05,1945.66,,0.52,0.678,0.464,1514,1514,1514
2930.51,2357.33,,0.181,0.106,0.691,1514,1514,1514
2792.31,1118.37,,0.21,0.224,0.453,1514,1514,973
2961.38,1786.09,,0.189,0.226,28.025,1514,1514,1514
2871.47,1601.63,,0.201,0.088,0.485,519,76,1514
2963.42,1114.53,,0.387,34.204,0.459,556,1514,1514
3357.9,883.872,,0.21,8.058,0.743,1514,1514,1514
,1281.26,,0.188,0.609,0.271,1514,1514,805
,1618.9,,0.197,0.162,18.095,1514,1514,985
,1166.93,,0.039,0.514,9.956,1514,178,1514
,1203.28,,19.291,0.047,0.558,1514,128,1514
,1829.76,,9.652,0.028,0.511,67,74,1514
,1959.98,,2.23,37.975,2.345,1514,1514,1514
,2555.21,,0.533,0.607,0.54,1514,1514,1514
,1014.22,,0.219,0.233,0.714,1514,1514,1106
,2389.98,,0.182,0.19,25.565,1514,1514,1514
,2218.32,,0.192,0.219,0.555,1514,1514,1514
,2556.64,,0.587,0.571,0.622,1514,1514,1514
,2587.37,,0.195,0.051,0.601,592,1514,1514
,1655.56,,0.201,38.417,0.421,1078,1514,1514
,2198.15,,0.212,4.232,0.572,1514,1514,775
,1435.29,,0.087,0.567,21.76,1514,583,985
,1437.86,,6.4,0.222,51.101,1514,76,1514
,1350.85,,12.049,0.219,0.443,1514,74,1514
,2178.25,,8.646,0.142,0.546,1514,102,1514
,1101.57,,4.438,0.222,0.661,1514,1514,1334
,2330.48,,0.506,0.099,12.357,749,1514,985
,2105.39,,0.209,7.113,32.286,759,1514,1514
,1919.32,,0.193,30.896,0.495,1514,1514,1514
,1095.52,,0.61,0.552,0.464,1514,1514,1514
,1959,,0.186,0.277,0.763,1514,1514,1514
,2175.32,,0.215,0.487,0.489,1514,1514,1514
,2473.78,,0.181,0.042,0.74,1514,1514,1514
,2250.78,,0.204,0.025,0.857,767,1514,1514
,2526.33,,0.066,3.21,0.514,79,447,1514
,3098.9,,3.926,37.135,2.407,1514,1078,1514
,3230.2,,9.519,0.57,0.088,1514,102,1514
,3759.54,,5.68,0.22,0.131,1514,438,1514
,3413.18,,11.445,0.24,0.283,1514,1514,1514
,3437.79,,0.544,0.211,0.301,1514,1514,1514
,3003.98,,0.07,0.216,0.596,1514,1514,1514
,3438.71,,0.183,0.503,0.71,1426,1514,1514
,3301.96,,0.205,5.207,0.383,975,1514,1514
,3615.66,,0.559,0.574,0.501,975,1514,1514
,3043.27,,0.187,0.366,0.629,975,1514,1514
,3713.98,,0.23,0.039,0.863,975,1514,1514
,2872.14,,0.165,0.061,0.459,975,1389,1514
,3571.28,,1.602,0.121,0.525,975,76,1514
,2809.62,,20.797,0.149,0.662,975,128,1514
,1139.67,,9.271,0.148,0.459,975,1514,1514
,,,0.473,0.149,0.658,975,1514,1514
,,,0.204,0.214,0.494,975,1514,1514
,,,0.194,0.097,0.764,975,1514,1514
,,,0.633,0.585,0.405,975,1514,761
,,,0.163,0.138,0.523,975,1514,1514
,,,0.198,0.149,0.61,975,1514,1514
,,,0.2,0.147,0.529,975,1514,1514
,,,0.22,0.148,0.715,975,1514,1514
,,,0.034,0.149,0.515,975,149,1514
,,,8.681,0.155,0.386,975,102,386
,,,8.322,0.037,14.008,181,83,985
,,,11.925,17.304,7.362,603,76,54
,,,1.684,13.644,2.741,1514,1514,1514
,,,0.504,0.553,0.556,1514,1514,1514
,,,0.202,0.218,0.467,1514,1514,1514
,,,0.191,0.288,1.53,1514,1514,1514
,,,0.649,0.181,0.113,1514,1514,1445
,,,0.164,0.331,14.662,1514,1514,54
,,,0.207,0.039,6.787,775,1514,54
,,,0.189,9.499,6.306,78,1514,1514
,,,0.195,0.491,0.131,78,1514,1514
,,,0.104,32.242,0.485,1514,876,1514
,,,3.49,0.551,1.206,1514,86,1514
,,,10.489,0.237,0.361,1514,76,1118
,,,1.555,0.221,22.101,1514,76,985
,,,1.166,0.222,49.926,1514,102,1514
,,,3.213,0.091,0.502,490,624,1514
